name,degree,address,tel
대림차이나타운,1.8,서울 영등포구 대림동 1050-43,
안국문,5.0,서울 관악구 낙성대로 77,
철새도래지,4.3,서울 영등포구 여의도동 84-2,
도화동상점가,5.0,서울 마포구 도화길 29,02-712-6802
서빙고동부군당,0.0,서울 용산구 서빙고로59길 3-6,02-2199-7243
소녀시대숲,5.0,서울 영등포구 여의도동 82-9,
서울명예도로 남이장군로,2.0,,
광개토대왕릉비,4.2,서울 용산구 이태원로 29,
영전사지보제존자사리탑,0.0,서울 용산구 서빙고로 137,
용강상점가,1.0,서울 마포구 토정로 315,
신민당사 터,5.0,서울 마포구 도화동 556,
나주서문석등,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
천수사오층석탑,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
도당,5.0,서울 영등포구 신길로41라길 18,
여주 고달사지 쌍사자 석등,0.0,서울 용산구 서빙고로 137,
구 경성방직사무동,5.0,서울 영등포구 영중로 15,
영등포역 여행센터,0.0,서울 영등포구 경인로 846 3층,02-2678-7723
용강동정구중가옥,0.0,서울 마포구 큰우물로2길 22,
경의선광장,0.0,서울 마포구 염리동 169-12,
흥법사 진공대사탑부석관,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
정토사홍법국사 실상탑,0.0,서울 용산구 서빙고로 137,
토정 이지함 동상,0.0,서울 마포구 용강동 502,
거돈사원공국사승묘탑,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
맥아더사령관 한강방어선 시찰지,5.0,서울 영등포구 영등포동 582-3,
박종철벤치,5.0,서울 관악구 신림동 246-80,
천수사삼층석탑,0.0,서울 용산구 서빙고로 137,
동방신기숲,4.1,서울 영등포구 여의도동 82-9,
내삼문,0.0,서울 관악구 낙성대로 77,
효민공이경직묘역,0.0,서울 관악구 남현동 산 57-10,
금동보살입상,0.0,서울 용산구 서빙고로 137,
샛강,2.0,서울 영등포구 여의도동,
전흥법사염거화상탑,0.0,서울 용산구 서빙고로 137,
금동탄생불입상,0.0,서울 관악구 남부순환로152길 53 호림박물관,
백범김구묘역,4.4,서울 용산구 임정로 26,
애국의숲길 전망대,4.0,서울 관악구 봉천동,
신세계백화점 파미에스트리트,3.3,서울 서초구 신반포로 176,
이승국의사 추모비,0.0,서울 서초구 반포동 117-8,
안중근가묘,5.0,서울 용산구 효창원로 177-18,
(주)한국토이시어터,0.0,서울 서초구 서초대로27길 25,02-592-0224
서울대학교 자하연,4.3,서울 관악구 관악로 1,
서울신림동 굴참나무,4.0,서울 관악구 난곡로35길 28-7,
한강,2.0,서울 서초구 반포동,
돌산,5.0,서울 관악구 신림동 산 29,
자연보호 헌장법기념비,0.0,서울 관악구 신림동,
베스트원벽화,0.0,서울 마포구 새창로 52 12-205호,02-929-6104
관음사산책길,0.0,,
팬코라시아,0.0,서울 서초구 사평대로22길 41 성운빌딩 6층,
박세채정승살던곳,5.0,서울 마포구 신수로3길 23,
난곡동 벽화마을,5.0,서울 관악구 신림동 709-17,
효창공원 원효대사동상,5.0,서울 용산구 효창원로 177-18,
전쟁기념관산책길,0.0,,
효창공원 임정요인묘역,5.0,서울 용산구 효창원로 177-18,
공덕리 금표,0.0,서울 마포구 마포대로 109,
드라마하우스,0.0,서울 영등포구 문래로 164 SK리더스뷰 B동1층,
효창공원 의열사,4.9,서울 용산구 효창원로 177-18,
효창공원 이봉창의사동상,5.0,서울 용산구 임정로 26,
서울대학교 4.19기념탑,3.7,서울 관악구 관악로 1,
평화의소녀상,5.0,서울 영등포구 문래로 196,
영등포봄꽃나들길,0.0,,
삼의사묘,5.0,서울 용산구 효창원로 177-18,
효령대군이보묘역,4.8,서울 서초구 효령로 135,
퀴논길,5.0,서울 용산구 이태원동 65-4,
관음사 국기대,5.0,서울 관악구 남현동 산 104-4,
인피니트숲,5.0,서울 영등포구 여의도동,
임시정부요인묘역,0.0,서울 용산구 효창원로 177-18,
서리골서리풀나들길,5.0,,
영등포산업선교회 동판,5.0,서울 영등포구 버드나루로23길 24,
공덕소담길,5.0,서울 마포구 공덕동,
효창공원 삼의사묘역,5.0,서울 용산구 임정로 26,
서울테마산책길 관악산 무장애 숲길,3.0,,
국수봉석조미륵좌상,0.0,서울 관악구 관악로 1,
선유천 국기대,5.0,서울 관악구 봉천동 산 4-9,
남영동스테이크골목,5.0,서울 용산구 남영동 2,
봉원천,0.0,서울 마포구 신정동 145-3,
봉천동 마애미륵불좌상,3.8,서울 관악구 봉천동 산 4-9,
느티나무보호수421년,4.7,서울 관악구 신림동,
동의보감,0.0,서울 서초구 반포대로 201,
평화의소녀상,5.0,서울 용산구 이태원동 34-2,
